number,state,value,test_acc,val_acc_best,batch_size,dropout,ema_decay,epochs,label_smoothing,lr,onecycle_pct_start,weight_decay
0,1,0.5553435114503816,0.5314285714285715,0.5553435114503816,32,0.6680584274447336,0.999422146849722,12,0.04038855250843185,5.301812266573187e-05,0.10887076662680416,0.0002702580676719331
1,1,0.7767175572519084,0.7828571428571428,0.7767175572519084,16,0.5936083897821617,0.995704246471735,12,0.09597773956829538,0.0003385411072501414,0.2909130491341355,6.473169608362886e-05
2,1,0.6316793893129771,0.6114285714285714,0.6316793893129771,32,0.5009738463526384,0.999421716704653,14,0.04568858677855099,0.00021061177901976483,0.15151930138157166,3.6162387883748894e-05
3,1,0.75,0.7638095238095238,0.75,16,0.5796522788482419,0.9968121973619897,16,0.04106021169792076,7.347529049381184e-05,0.2666100186458235,8.88741699165424e-05
4,1,0.7442748091603053,0.7542857142857143,0.7442748091603053,32,0.6723230858205345,0.9969876412277,12,0.08084107544590866,0.00015311467983386397,0.12690280638774415,2.5789215358603773e-05
5,1,0.7576335877862596,0.7390476190476191,0.7576335877862596,16,0.6143583361912077,0.9951327784677607,18,0.017382387135198473,0.00017954587791832658,0.08629978610451093,0.0008874256129763507
6,2,0.2767175572519084,,,16,0.5475693092284163,0.9992548543751292,17,0.05037576835828386,0.0002328505804622537,0.20960285874416607,0.0004314239824305854
7,2,0.17557251908396945,,,16,0.6515987003763385,0.999684609778948,16,0.09224000164550833,0.00010334328210246005,0.2618050608375622,0.0008178684350940696
8,1,0.7595419847328244,0.7428571428571429,0.7595419847328244,16,0.5957905832322457,0.9975245953523283,14,0.04155274015136434,6.26556107659668e-05,0.18206327325289895,1.3248105455277058e-05
9,1,0.7461832061068703,0.758095238095238,0.7461832061068703,16,0.6056804467937623,0.9963030713986946,17,0.07971352014961913,8.580435351604881e-05,0.08833421769163984,0.0004368289667592581
10,1,0.7690839694656488,0.7619047619047619,0.7690839694656488,32,0.37476066325937407,0.9951599730273645,13,0.09881739517832822,0.0004899452733383193,0.2999165651232307,0.00010202931088928538
11,1,0.7538167938931297,0.7638095238095238,0.7538167938931297,32,0.3520693178239148,0.9950216485819817,13,0.09990643782282287,0.00042078449607311873,0.29320120564870134,9.691439804077365e-05
12,1,0.7633587786259542,0.7828571428571428,0.7633587786259542,32,0.37943337251773024,0.995928481418778,13,0.06939838326522635,0.00042519443046763983,0.22718068131593028,4.7664574645269645e-05
13,2,0.47900763358778625,,,32,0.42230349799769795,0.9980818862663041,13,0.06523328807706083,0.00030892187849868995,0.29729432902811254,0.00017864052937990106
14,1,0.7595419847328244,0.7619047619047619,0.7595419847328244,16,0.4543329762696474,0.9957348005813026,12,0.0889780239770049,0.0004944517625233732,0.24106286979004096,6.305389051891095e-05
15,2,0.6965648854961832,,,32,0.5116359903029845,0.9954843905786246,14,0.09828635410936788,0.00031185242414931305,0.19341532979573228,0.00017030437437608127
16,2,0.7213740458015268,,,16,0.3068284426772782,0.9964435415678146,15,0.006300657610793806,0.0003148109865662543,0.05111828612069921,2.1563629740235893e-05
17,2,0.16793893129770993,,,32,0.4468797189740009,0.9982767836344789,13,0.06292290546725755,0.00012944684656224171,0.26349386155401505,0.00015324623654802523
18,2,0.7270992366412213,,,16,0.5434433466115812,0.9960256103422517,12,0.08067847229646914,0.0002528551894222012,0.2987394956374261,1.0060690290146573e-05
19,2,0.7213740458015268,,,32,0.39966472547228993,0.9954623217660248,15,0.028078464757305632,0.00039293016275536127,0.2387911076096807,6.471841992516513e-05
